lga_name,state,zone,year,month,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,ndvi,flood_risk_flag,drought_flag
Aba North,Abia,SE,2019,1,109.4,29.1,21.8,78.4,0.627,0,0
Aba North,Abia,SE,2019,2,8.6,33.0,22.7,78.1,0.562,0,1
Aba North,Abia,SE,2019,3,483.7,33.7,21.1,82.6,0.542,0,0
Aba North,Abia,SE,2019,4,62.6,29.9,20.0,92.8,0.58,0,0
Aba North,Abia,SE,2019,5,1095.7,33.2,22.3,63.9,0.66,0,0
Aba North,Abia,SE,2019,6,1074.7,27.9,23.3,78.6,0.688,0,0
Aba North,Abia,SE,2019,7,676.3,27.8,20.3,86.5,0.223,0,0
Aba North,Abia,SE,2019,8,2314.8,28.4,25.4,69.3,0.289,1,0
Aba North,Abia,SE,2019,9,882.6,31.2,23.8,66.4,0.277,0,0
Aba North,Abia,SE,2019,10,1497.6,31.8,25.3,91.5,0.157,0,0
Aba North,Abia,SE,2019,11,25.3,32.2,24.9,92.6,0.2,0,1
Aba North,Abia,SE,2019,12,24.5,33.1,21.3,80.9,0.51,0,1
Aba North,Abia,SE,2020,1,117.7,28.1,21.3,72.7,0.106,0,0
Aba North,Abia,SE,2020,2,71.2,28.9,22.7,88.8,0.749,0,0
Aba North,Abia,SE,2020,3,48.2,31.3,23.9,75.7,0.192,0,0
Aba North,Abia,SE,2020,4,382.0,28.7,21.9,89.6,0.724,0,0
Aba North,Abia,SE,2020,5,504.0,29.5,21.3,86.7,0.279,0,0
Aba North,Abia,SE,2020,6,1909.4,31.9,24.9,87.6,0.645,1,0
Aba North,Abia,SE,2020,7,768.1,27.1,21.5,74.0,0.591,0,0
Aba North,Abia,SE,2020,8,2117.0,33.3,23.3,64.2,0.712,1,0
Aba North,Abia,SE,2020,9,1467.9,34.0,21.5,72.9,0.757,0,0
Aba North,Abia,SE,2020,10,636.1,28.1,21.2,64.5,0.4,0,0
Aba North,Abia,SE,2020,11,203.0,32.6,23.6,81.9,0.47,0,0
Aba North,Abia,SE,2020,12,39.0,27.5,22.2,70.9,0.672,0,0
Aba North,Abia,SE,2021,1,121.1,33.0,24.0,66.1,0.624,0,0
Aba North,Abia,SE,2021,2,119.2,28.3,23.1,66.5,0.773,0,0
Aba North,Abia,SE,2021,3,290.6,27.9,22.3,73.9,0.777,0,0
Aba North,Abia,SE,2021,4,475.3,31.0,22.4,66.6,0.341,0,0
Aba North,Abia,SE,2021,5,938.8,31.1,25.3,81.0,0.675,0,0
Aba North,Abia,SE,2021,6,1511.2,32.2,24.7,85.7,0.274,0,0
Aba North,Abia,SE,2021,7,869.5,30.9,22.9,94.0,0.489,0,0
Aba North,Abia,SE,2021,8,1213.6,30.5,23.7,73.0,0.647,0,0
Aba North,Abia,SE,2021,9,129.7,27.8,21.5,66.0,0.466,0,0
Aba North,Abia,SE,2021,10,1308.4,28.8,23.6,68.6,0.329,0,0
Aba North,Abia,SE,2021,11,309.5,32.2,25.9,81.0,0.208,0,0
Aba North,Abia,SE,2021,12,20.1,27.1,20.0,62.3,0.308,0,1
Aba North,Abia,SE,2022,1,83.3,31.6,22.8,74.0,0.688,0,0
Aba North,Abia,SE,2022,2,91.9,33.6,25.7,70.7,0.556,0,0
Aba North,Abia,SE,2022,3,128.9,27.2,21.7,92.8,0.15,0,0
Aba North,Abia,SE,2022,4,164.2,27.1,23.1,80.1,0.325,0,0
Aba North,Abia,SE,2022,5,1357.6,32.9,22.8,61.2,0.529,0,0
Aba North,Abia,SE,2022,6,1143.5,29.3,24.0,70.4,0.62,0,0
Aba North,Abia,SE,2022,7,1701.1,31.9,21.8,60.4,0.535,0,0
Aba North,Abia,SE,2022,8,1802.6,28.1,23.1,68.2,0.682,1,0
Aba North,Abia,SE,2022,9,174.4,33.5,26.0,75.0,0.76,0,0
Aba North,Abia,SE,2022,10,207.3,33.6,23.4,81.7,0.188,0,0
Aba North,Abia,SE,2022,11,470.1,33.6,25.0,79.1,0.781,0,0
