feature,importance
lag_momentum,0.10021782882255935
incidence_lag_1w,0.09018681169757115
log_pop_density,0.08480001126237317
incidence_lag_4w,0.07972034085302845
td_ratio,0.0735364803107616
v_state,0.06270990638570308
advantage,0.056054257424621015
v_x_deprivation,0.05251250594123136
q_no_alert,0.051996725491226935
lag_trend,0.039572112312799154
td_error_4w,0.03684761463482793
td_error_8w,0.03677137627908359
td_error_1w,0.03443509795761943
advantage_x_zone,0.02301750992055294
deprivation_x_quality,0.018876038794957774
zone_x_deprivation,0.01850905934492684
zone_enc,0.018385387354493462
v_x_climate,0.015709578819375805
lag_ratio_14,0.010280450965999237
humidity_pct,0.009743771210683755
rain_hum,0.009705129527374927
rainfall_mm,0.009682993777046622
temp_max_c,0.009507307533182387
climate_risk,0.008841303160796654
rain_ndvi,0.008354032132998753
heat_humidity,0.007864284221921751
ndvi,0.00737285648542878
cos_w1,0.005817022567779437
sin_w1,0.004835188197410601
sin_w2,0.004666888599124981
cos_w2,0.004572029530688731
policy_score,0.0021405133151071233
lga_type_x_deprivation,0.0013672329923599736
lga_type_enc,0.0013424897104681696
season_enc,4.786246391509117e-05
flood_risk_flag,0.0
incidence_lag_8w,0.0
incidence_lag_2w,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
