feature,importance
lag_momentum,0.10181679893881729
log_pop_density,0.08826611370049596
incidence_lag_1w,0.08209390498062781
td_ratio,0.08118533707145964
incidence_lag_4w,0.07311543641932336
v_state,0.06573221727353692
advantage,0.060231045657279825
v_x_deprivation,0.05841022321465491
q_no_alert,0.05089855186486295
lag_trend,0.04068086122407171
td_error_8w,0.034175562993481005
td_error_4w,0.03311982386708095
td_error_1w,0.031811649838184186
advantage_x_zone,0.023087847489431067
deprivation_x_quality,0.01797338827431755
zone_enc,0.017749494357993053
v_x_climate,0.017093448103913545
zone_x_deprivation,0.015944190024779314
lag_ratio_14,0.010744738034785897
temp_max_c,0.010327701781071633
rain_hum,0.00964105756572502
rainfall_mm,0.00929079076406716
humidity_pct,0.008962756520578818
climate_risk,0.008519251519072223
rain_ndvi,0.008362860345760843
heat_humidity,0.00816921108240889
ndvi,0.0071085802340061476
cos_w1,0.005629077202293686
sin_w2,0.004997912669627235
sin_w1,0.004881793174163224
cos_w2,0.004460104574459203
policy_score,0.0027276838889931966
lga_type_enc,0.0014012190351944294
lga_type_x_deprivation,0.0013586775981957763
season_enc,3.068871528555838e-05
flood_risk_flag,0.0
incidence_lag_8w,0.0
incidence_lag_2w,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
