feature,importance
incidence_lag_2w,0.09937224945268573
incidence_lag_1w,0.09778821191331338
incidence_lag_4w,0.08135746647245368
td_ratio,0.06993954045199345
log_pop_density,0.06873417418535574
advantage,0.059956640190050405
v_state,0.05822014406553302
incidence_lag_8w,0.05237825757428338
q_no_alert,0.050978197629329924
v_x_deprivation,0.04963651248068334
td_error_4w,0.03178744917151326
lag_momentum,0.031072796079289956
lag_trend,0.027943931297878036
td_error_1w,0.02637908432410231
td_error_8w,0.026157417590839054
advantage_x_zone,0.020196118485138487
deprivation_x_quality,0.016977086374142206
zone_enc,0.013878039566767258
v_x_climate,0.012847038234370873
zone_x_deprivation,0.012788724476270477
lag_ratio_14,0.008555573255021756
temp_max_c,0.008345006704745077
humidity_pct,0.008119192508536308
rain_hum,0.00795944114109854
climate_risk,0.007926708588036882
rainfall_mm,0.007722508645708239
heat_humidity,0.007248778057409037
rain_ndvi,0.0071237798758063305
ndvi,0.006968841472198511
cos_w1,0.005267671550091848
sin_w2,0.004224306647555043
sin_w1,0.0038703104667092768
cos_w2,0.003573589284041323
policy_score,0.002203993384407284
lga_type_x_deprivation,0.0012411909971093771
lga_type_enc,0.0012350727090447865
season_enc,2.4954696486502985e-05
flood_risk_flag,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
