feature,importance
lag_momentum,0.10223432521924333
log_pop_density,0.08478872217435511
incidence_lag_4w,0.08323361733653296
incidence_lag_1w,0.07602827872392688
td_ratio,0.07453512084251868
v_state,0.0659634498280437
advantage,0.061489388958255696
v_x_deprivation,0.055463392524226086
q_no_alert,0.05336133750986786
lag_trend,0.03888488490716752
td_error_4w,0.038308098599162996
td_error_1w,0.03298041401025628
td_error_8w,0.03204048569030146
advantage_x_zone,0.022163999658910208
deprivation_x_quality,0.019104715039354958
zone_x_deprivation,0.01830679629707483
zone_enc,0.018216737199186164
v_x_climate,0.016611887294088235
lag_ratio_14,0.010383585672884952
rain_hum,0.009974467688970293
humidity_pct,0.009664539692377317
rainfall_mm,0.009622104710178672
rain_ndvi,0.009037732511034733
climate_risk,0.00896510490376346
temp_max_c,0.008669998569937262
heat_humidity,0.008358678623393428
ndvi,0.007361466198431814
cos_w1,0.005371413177635457
sin_w1,0.004926669468897211
sin_w2,0.0044731856376218826
cos_w2,0.004130606639634432
policy_score,0.00248488283382373
lga_type_enc,0.001494264513965042
lga_type_x_deprivation,0.0013406487575892898
season_enc,2.499858738818967e-05
flood_risk_flag,0.0
incidence_lag_8w,0.0
incidence_lag_2w,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
