feature,importance
incidence_lag_1w,0.09364310306652843
incidence_lag_2w,0.09280419807523824
incidence_lag_4w,0.07334936058987607
td_ratio,0.07066661297853578
log_pop_density,0.07059323362460278
advantage,0.06127548910169357
v_state,0.05983569469822015
v_x_deprivation,0.05520795455702426
incidence_lag_8w,0.05408729650363082
q_no_alert,0.050511773926974673
lag_momentum,0.033950230466814176
td_error_4w,0.030577423100224113
lag_trend,0.030332281792038215
td_error_8w,0.0288989289239353
td_error_1w,0.02603680665270926
advantage_x_zone,0.01919455503538528
deprivation_x_quality,0.016285240890646823
zone_enc,0.014680379261421916
v_x_climate,0.013717913069369177
zone_x_deprivation,0.012879860591748444
rainfall_mm,0.008393574796744118
humidity_pct,0.008240833238964424
rain_hum,0.008184995102437708
lag_ratio_14,0.008042027455111627
temp_max_c,0.007662188466946019
climate_risk,0.007630156005078234
heat_humidity,0.007370564383549243
rain_ndvi,0.007270494861675481
ndvi,0.006275461153595432
cos_w1,0.005335947841010078
sin_w1,0.004384198280987445
cos_w2,0.0038140460931350164
sin_w2,0.0038088088050179224
policy_score,0.002330797145837907
lga_type_enc,0.00137424522511771
lga_type_x_deprivation,0.0013296108244901066
season_enc,2.371341368407904e-05
flood_risk_flag,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
