feature,importance
lag_momentum,0.09462651985434682
incidence_lag_4w,0.09042297586815944
incidence_lag_1w,0.08709545973262113
log_pop_density,0.0814001594891953
td_ratio,0.07383751109592315
v_state,0.06298209291746133
advantage,0.05941369908255465
v_x_deprivation,0.05498208087238196
q_no_alert,0.052427107940377624
lag_trend,0.038686524237260794
td_error_4w,0.037184354971982844
td_error_8w,0.034696621512130696
td_error_1w,0.030996690189264254
advantage_x_zone,0.023461564983475246
deprivation_x_quality,0.02075522759589725
zone_x_deprivation,0.01877792349794104
zone_enc,0.018025702841322388
v_x_climate,0.016935679968943386
lag_ratio_14,0.010920761839096044
rainfall_mm,0.009547208637902125
rain_hum,0.009312266836740312
humidity_pct,0.008958314695144545
temp_max_c,0.008481298106192066
rain_ndvi,0.008096084135546043
climate_risk,0.008047579159352272
heat_humidity,0.007892712027118328
ndvi,0.00739674419975856
cos_w1,0.005814709783512024
sin_w1,0.0046494087686084215
sin_w2,0.004498648187934138
cos_w2,0.004206399551587225
policy_score,0.0027327167967127522
lga_type_enc,0.0013801022265966727
lga_type_x_deprivation,0.0013140087098693488
season_enc,4.313968708984309e-05
flood_risk_flag,0.0
incidence_lag_8w,0.0
incidence_lag_2w,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
